SampleID	Genus	NumCoreGenes
s101.STL.V01_1.4d	Enterobacter Enterobacter cloacae	19
s101.STL.V01_1.4d	Enterobacter Enterobacter hormaechei	32
s101.STL.V01_1.4d	Enterobacter Enterobacter sp. 50858885	5
s101.STL.V01_1.4d	Enterobacter Enterobacter sp. BIDMC100	12
s101.STL.V01_1.4d	Enterobacter Enterobacter sp. BIDMC109	18
s101.STL.V01_1.4d	Enterobacter Enterobacter sp. BIDMC110	3
s101.STL.V01_1.4d	Enterobacter Enterobacter sp. BIDMC93	1
s101.STL.V01_1.4d	Enterobacter Enterobacter sp. BIDMC94	1
s101.STL.V01_1.4d	Enterobacter Enterobacter sp. BWH52	19
s101.STL.V01_1.4d	Enterobacter Enterobacter sp. MGH119	12
s101.STL.V01_1.4d	Enterobacter Enterobacter sp. MGH128	2
s101.STL.V01_1.4d	Enterobacter Enterobacter sp. MGH 38	6
s101.STL.V01_1.4d	Enterobacter Enterobacter sp. MGH 7	1
s101.STL.V01_1.4d	Enterobacter Enterobacter sp. MGH86	2
s101.STL.V01_1.4d	Enterobacter Enterobacter sp. ST121:950178628	17
s101.STL.V01_1.4d	Enterobacter Enterobacter xiangfangensis	1
s101.STL.V01_1.4d	Escherichia Escherichia coli	164
s104.STL.V01_1.4d	Escherichia Escherichia coli	140
s105.STL.V01_1.4d	Escherichia Escherichia coli	139
s107.STL.V01_1.4d	Staphylococcus Staphylococcus aureus	141
s111.STL.V01_1.4d	Citrobacter Citrobacter braakii	9
s111.STL.V01_1.4d	Citrobacter Citrobacter sp. KTE151	27
s111.STL.V01_1.4d	Citrobacter Citrobacter sp. KTE32	94
s111.STL.V01_1.4d	Coprobacillus Coprobacillus sp. D6	37
s111.STL.V01_1.4d	Enterobacter Enterobacter sp. GN02600	9
s111.STL.V01_1.4d	Enterococcus Enterococcus faecalis	148
s117.STL.V01_1.4d	Klebsiella Klebsiella oxytoca	3
s117.STL.V01_1.4d	Klebsiella Klebsiella pneumoniae	143
s117.STL.V01_1.4d	Klebsiella Klebsiella variicola	2
s125.STL.V01_1.4d	Enterococcus Enterococcus faecalis	144
s125.STL.V01_1.4d	Escherichia Escherichia coli	139
s125.STL.V01_1.4d	Haemophilus Haemophilus parainfluenzae	1
s125.STL.V01_1.4d	Haemophilus Haemophilus sp. HMSC068C11	1
s125.STL.V01_1.4d	Haemophilus Haemophilus sp. HMSC71H05	3
s125.STL.V01_1.4d	Staphylococcus Staphylococcus epidermidis	4
s125.STL.V01_1.4d	Streptococcus Streptococcus parasanguinis	19
s125.STL.V01_1.4d	Streptococcus Streptococcus sp. 1171_SSPC	1
s125.STL.V01_1.4d	Streptococcus Streptococcus sp. A12	1
s125.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC057G03	3
s125.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC061E03	7
s125.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC065C01	2
s125.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC065E03	3
s125.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC072C09	17
s125.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC072G04	3
s125.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC073D05	1
s125.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC074F05	8
s125.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC076C09	21
s125.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC078D09	3
s125.STL.V01_1.4d	Streptococcus Streptococcus sp. HPH0090	1
s127.STL.V01_1.4d	Escherichia Escherichia coli	154
s128.STL.V01_1.4d	Bacteroides Bacteroides dorei	4
s128.STL.V01_1.4d	Bacteroides Bacteroides sp. 3_1_33FAA	1
s128.STL.V01_1.4d	Bacteroides Bacteroides sp. 3_1_40A	6
s128.STL.V01_1.4d	Bacteroides Bacteroides sp. 4_3_47FAA	4
s128.STL.V01_1.4d	Bacteroides Bacteroides vulgatus	119
s128.STL.V01_1.4d	Citrobacter Citrobacter koseri	16
s128.STL.V01_1.4d	Escherichia Escherichia coli	140
s128.STL.V01_1.4d	Parabacteroides Parabacteroides distasonis	2
s128.STL.V01_1.4d	Salmonella Salmonella sp. HMSC13B08	70
s145.STL.V01_1.4d	Escherichia Escherichia coli	139
s157.STL.V01_1.4d	Bacteroides Bacteroides dorei	4
s157.STL.V01_1.4d	Bacteroides Bacteroides sp. 3_1_40A	2
s157.STL.V01_1.4d	Bacteroides Bacteroides sp. 9_1_42FAA	3
s157.STL.V01_1.4d	Bacteroides Bacteroides vulgatus	137
s157.STL.V01_1.4d	Clostridium Clostridium disporicum	2
s157.STL.V01_1.4d	Cronobacter Cronobacter malonaticus	16
s157.STL.V01_1.4d	Cronobacter Cronobacter turicensis	124
s157.STL.V01_1.4d	Escherichia Escherichia coli	137
s157.STL.V01_1.4d	Shigella Shigella flexneri	7
s160.STL.V01_1.4d	Enterococcus Enterococcus faecalis	38
s160.STL.V01_1.4d	Enterococcus Enterococcus sp. HMSC078F03	105
s160.STL.V01_1.4d	Pantoea Pantoea dispersa	84
s160.STL.V01_1.4d	Parabacteroides Parabacteroides distasonis	2
s160.STL.V01_1.4d	Staphylococcus Staphylococcus epidermidis	30
s160.STL.V01_1.4d	Type-C symbiont of Plautia stali	57
s161.STL.V01_1.4d	Anaerotruncus Anaerotruncus sp. G3(2012)	1
s161.STL.V01_1.4d	Bacteria Firmicutes Clostridia Clostridia bacterium UC5.1-2H6	1
s161.STL.V01_1.4d	Bacteria Firmicutes Clostridia Clostridiales Clostridiales bacterium VE202-18	13
s161.STL.V01_1.4d	Bacteroides Bacteroides caccae	2
s161.STL.V01_1.4d	Bacteroides Bacteroides fragilis	103
s161.STL.V01_1.4d	Bacteroides Bacteroides ovatus	97
s161.STL.V01_1.4d	Bacteroides Bacteroides sp. 1_1_6	5
s161.STL.V01_1.4d	Bacteroides Bacteroides sp. 2_1_16	3
s161.STL.V01_1.4d	Bacteroides Bacteroides sp. 2_2_4	7
s161.STL.V01_1.4d	Bacteroides Bacteroides sp. 3_1_23	25
s161.STL.V01_1.4d	Bacteroides Bacteroides sp. 3_2_5	4
s161.STL.V01_1.4d	Bacteroides Bacteroides sp. D2	3
s161.STL.V01_1.4d	Bacteroides Bacteroides sp. HMSC068A09	1
s161.STL.V01_1.4d	Bacteroides Bacteroides sp. HMSC073E02	8
s161.STL.V01_1.4d	Bacteroides Bacteroides thetaiotaomicron	19
s161.STL.V01_1.4d	Blautia Blautia hansenii	1
s161.STL.V01_1.4d	Blautia [Ruminococcus] gnavus	148
s161.STL.V01_1.4d	Coprobacillus Coprobacillus sp. 3_3_56FAA	24
s161.STL.V01_1.4d	Coprobacillus Coprobacillus sp. 8_2_54BFAA	4
s161.STL.V01_1.4d	Coprobacillus Coprobacillus sp. D7	16
s161.STL.V01_1.4d	Erysipelatoclostridium Erysipelatoclostridium ramosum	89
s161.STL.V01_1.4d	Escherichia Escherichia coli	129
s161.STL.V01_1.4d	Escherichia Escherichia sp. 3_2_53FAA	12
s161.STL.V01_1.4d	Klebsiella Klebsiella pneumoniae	110
s161.STL.V01_1.4d	Lachnospiraceae bacterium 2_1_58FAA	9
s161.STL.V01_1.4d	Lachnospiraceae bacterium 9_1_43BFAA	1
s161.STL.V01_1.4d	Massilimaliae Massilimaliae massiliensis	1
s161.STL.V01_1.4d	Megasphaera Megasphaera sp. MJR8396C	146
s161.STL.V01_1.4d	Streptococcus Streptococcus infantarius	8
s161.STL.V01_1.4d	Streptococcus Streptococcus lutetiensis	17
s161.STL.V01_1.4d	Tyzzerella Tyzzerella nexilis	2
s165.STL.V01_1.4d	Neisseria Neisseria lactamica	1
s169.STL.V01_1.4d	Haemophilus Haemophilus parainfluenzae	24
s169.STL.V01_1.4d	Haemophilus Haemophilus sp. CCUG 60358	5
s169.STL.V01_1.4d	Haemophilus Haemophilus sp. HMSC061E01	2
s169.STL.V01_1.4d	Haemophilus Haemophilus sp. HMSC066D03	8
s169.STL.V01_1.4d	Haemophilus Haemophilus sp. HMSC068C11	20
s169.STL.V01_1.4d	Haemophilus Haemophilus sp. HMSC073C03	8
s169.STL.V01_1.4d	Haemophilus Haemophilus sp. HMSC61B11	4
s169.STL.V01_1.4d	Haemophilus Haemophilus sp. HMSC71H05	70
s169.STL.V01_1.4d	Pantoea Pantoea dispersa	76
s169.STL.V01_1.4d	Proteus Proteus mirabilis	25
s169.STL.V01_1.4d	Proteus Proteus sp. HMSC14B05	8
s169.STL.V01_1.4d	Streptococcus Streptococcus australis	1
s169.STL.V01_1.4d	Streptococcus Streptococcus parasanguinis	16
s169.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC057G03	3
s169.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC061E03	11
s169.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC065C01	5
s169.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC065E03	4
s169.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC072C09	3
s169.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC074F05	1
s169.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC076C09	1
s169.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC078D09	2
s169.STL.V01_1.4d	Type-C symbiont of Plautia stali	64
s169.STL.V01_1.4d	Veillonella Veillonella dispar	146
s169.STL.V01_1.4d	Veillonella Veillonella parvula	3
s169.STL.V01_1.4d	Veillonella Veillonella sp. 3_1_44	2
s173.STL.V01_1.4d	Granulicatella Granulicatella adiacens	4
s173.STL.V01_1.4d	Granulicatella Granulicatella sp. 572.rep2_STHE	11
s173.STL.V01_1.4d	Granulicatella Granulicatella sp. HMSC30F09	2
s173.STL.V01_1.4d	Granulicatella Granulicatella sp. HMSC31F03	3
s173.STL.V01_1.4d	Neisseria Neisseria flavescens	2
s173.STL.V01_1.4d	Neisseria Neisseria lactamica	17
s173.STL.V01_1.4d	Neisseria Neisseria mucosa	18
s173.STL.V01_1.4d	Neisseria Neisseria sp. HMSC056A03	2
s173.STL.V01_1.4d	Neisseria Neisseria sp. HMSC058F07	2
s173.STL.V01_1.4d	Neisseria Neisseria sp. HMSC061B04	16
s173.STL.V01_1.4d	Neisseria Neisseria sp. HMSC061E12	1
s173.STL.V01_1.4d	Neisseria Neisseria sp. HMSC061H08	1
s173.STL.V01_1.4d	Neisseria Neisseria sp. HMSC063B05	3
s173.STL.V01_1.4d	Neisseria Neisseria sp. HMSC066H01	14
s173.STL.V01_1.4d	Neisseria Neisseria sp. HMSC068C04	1
s173.STL.V01_1.4d	Neisseria Neisseria sp. HMSC068C12	3
s173.STL.V01_1.4d	Neisseria Neisseria sp. HMSC075C10	5
s173.STL.V01_1.4d	Neisseria Neisseria sp. HMSC078C12	8
s173.STL.V01_1.4d	Neisseria Neisseria sp. HMSC15G01	1
s173.STL.V01_1.4d	Neisseria Neisseria subflava	1
s173.STL.V01_1.4d	Streptococcus Streptococcus mitis	7
s173.STL.V01_1.4d	Streptococcus Streptococcus mutans	1
s173.STL.V01_1.4d	Streptococcus Streptococcus parasanguinis	58
s173.STL.V01_1.4d	Streptococcus Streptococcus pseudopneumoniae	3
s173.STL.V01_1.4d	Streptococcus Streptococcus salivarius	73
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. 1171_SSPC	2
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. 263_SSPC	119
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. 449_SSPC	3
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. ACS2	2
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. C150	2
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. CCH5-D3	2
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. CCH8-H5	3
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. F0442	2
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC057G03	49
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC061E03	4
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC064H09	1
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC065C01	12
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC065E03	10
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC072C09	15
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC072G04	6
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC073D05	5
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC074F05	23
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC076C09	32
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC078D09	13
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC078H03	50
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC078H12	5
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC10E12	3
s173.STL.V01_1.4d	Streptococcus Streptococcus sp. SR4	6
s173.STL.V01_1.4d	Streptococcus Streptococcus thermophilus	8
s176.STL.V01_1.4d	Bacteroides Bacteroides vulgatus	140
s176.STL.V01_1.4d	Escherichia Escherichia coli	139
s184.STL.V01_1.4d	Bacteroides Bacteroides sp. 3_1_40A	3
s184.STL.V01_1.4d	Bacteroides Bacteroides sp. 4_3_47FAA	8
s184.STL.V01_1.4d	Bacteroides Bacteroides uniformis	1
s184.STL.V01_1.4d	Bacteroides Bacteroides vulgatus	129
s184.STL.V01_1.4d	Clostridium Clostridium butyricum	3
s184.STL.V01_1.4d	Clostridium Clostridium neonatale	6
s184.STL.V01_1.4d	Clostridium Clostridium paraputrificum	2
s184.STL.V01_1.4d	Clostridium Clostridium sp. 7_2_43FAA	31
s184.STL.V01_1.4d	Clostridium Clostridium sp. BL-8	1
s184.STL.V01_1.4d	Clostridium Clostridium sp. Marseille-P2414	105
s184.STL.V01_1.4d	Enterococcus Enterococcus faecalis	75
s184.STL.V01_1.4d	Enterococcus Enterococcus sp. HMSC078F03	68
s184.STL.V01_1.4d	Escherichia Escherichia coli	139
s184.STL.V01_1.4d	Staphylococcus Staphylococcus epidermidis	117
s184.STL.V01_1.4d	Staphylococcus Staphylococcus lugdunensis	54
s184.STL.V01_1.4d	Staphylococcus Staphylococcus sp. HMSC062D12	1
