taxon	contigs_db_path	accession	organism_name	temp	pathovar	assembly_accession	taxid	species_taxid	phylo_group	node_lable
Escherichia_coli_042	GCF_000027125.db	GCF_000027125	Escherichia coli 042	NA:042	NA	GCF_000027125.1	216592	562	D1	042
Escherichia_coli_101_1	GCF_000168095.db	GCF_000168095	Escherichia coli 101-1	EAEC:101_1	EAEC	GCF_000168095.1	358709	562	A	EAEC:101_1
Escherichia_coli_536	GCF_000013305.db	GCF_000013305	Escherichia coli 536	ExPEC/UPEC:536	ExPEC/UPEC	GCF_000013305.1	362663	562	B2	ExPEC/UPEC:536
Escherichia_coli_55989	GCF_000026245.db	GCF_000026245	Escherichia coli 55989	NA:55989	NA	GCF_000026245.1	585055	562	B1	55989
Escherichia_coli_APEC_O1	GCF_000014845.db	GCF_000014845	Escherichia coli APEC O1	ExPEC/avian:APEC_O1	ExPEC/avian	GCF_000014845.1	405955	562	B2	ExPEC/avian:APEC_O1
Escherichia_coli_B171	GCF_000167895.db	GCF_000167895	Escherichia coli B171	EPEC:B171	EPEC	GCF_000167895.3	344601	562	B1	EPEC:B171
Escherichia_coli_B7A	GCF_000725265.db	GCF_000725265	Escherichia coli B7A	ETEC:B7A	ETEC	GCF_000725265.1	340184	562	B1	ETEC:B7A
Escherichia_coli_CFT073	GCF_000007445.db	GCF_000007445	Escherichia coli CFT073	ExPEC/UPEC:CFT073	ExPEC/UPEC	GCF_000007445.1	199310	562	B2	ExPEC/UPEC:CFT073
Escherichia_coli_E110019	GCF_000167875.db	GCF_000167875	Escherichia coli E110019	EPEC:E110019	EPEC	GCF_000167875.1	340186	562	Unknown	EPEC:E110019
Escherichia_coli_E1167	GCF_000190795.db	GCF_000190795	Escherichia coli E1167	NA:E1167	NA	GCF_000190795.1	656372	562	B1	E1167
Escherichia_coli_E22	GCF_000167855.db	GCF_000167855	Escherichia coli E22	EPEC:E22	EPEC	GCF_000167855.1	340185	562	B1	EPEC:E22
Escherichia_coli_F11	GCF_000167835.db	GCF_000167835	Escherichia coli F11	ExPEC/UPEC:F11	ExPEC/UPEC	GCF_000167835.1	340197	562	B2	ExPEC/UPEC:F11
Escherichia_coli_HS	GCF_000017765.db	GCF_000017765	Escherichia coli HS	Commensal:HS	NA	GCF_000017765.1	331112	562	A	HS
Escherichia_coli_IAI1	GCF_000026265.db	GCF_000026265	Escherichia coli IAI1	NA:IAI1	NA	GCF_000026265.1	585034	562	B1	IAI1
