assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	assembly_level	genome_rep	seq_rel_date	asm_name	ftp_path
GCF_000007785.1	PRJNA57669	SAMN02603978		reference genome	226185	1351	Enterococcus faecalis V583	strain=V583	Complete Genome	Full	3/28/03	ASM778v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/785/GCF_000007785.1_ASM778v1
GCF_000147215.1	PRJNA224116	SAMN00189108	AEBD00000000.1	na	749501	1351	Enterococcus faecalis TX0102	strain=TX0102	Scaffold	Full	9/24/10	ASM14721v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/215/GCF_000147215.1_ASM14721v1
GCF_000147255.1	PRJNA224116	SAMN00189115	AEBE00000000.1	na	749508	1351	Enterococcus faecalis TX0630	strain=TX0630	Scaffold	Full	9/23/10	ASM14725v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/255/GCF_000147255.1_ASM14725v1
GCF_000147275.1	PRJNA224116	SAMN00189106	AEBF00000000.1	na	749499	1351	Enterococcus faecalis TX0031	strain=TX0031	Scaffold	Full	9/23/10	ASM14727v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/275/GCF_000147275.1_ASM14727v1
GCF_000147295.1	PRJNA224116	SAMN00189131	AEBH00000000.1	na	749494	1351	Enterococcus faecalis TX4244	strain=TX4244	Scaffold	Full	9/24/10	ASM14729v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/295/GCF_000147295.1_ASM14729v1
GCF_000147455.1	PRJNA224116	SAMN00189126	AEBI00000000.1	na	749516	1351	Enterococcus faecalis TX1346	strain=TX1346	Scaffold	Full	9/23/10	ASM14745v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/455/GCF_000147455.1_ASM14745v1
GCF_000147475.1	PRJNA224116	SAMN00189125	AEBJ00000000.1	na	749515	1351	Enterococcus faecalis TX1342	strain=TX1342	Scaffold	Full	9/24/10	ASM14747v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/475/GCF_000147475.1_ASM14747v1
GCF_000147495.1	PRJNA224116	SAMN00189123	AEBK00000000.1	na	749513	1351	Enterococcus faecalis TX1302	strain=TX1302	Scaffold	Full	9/24/10	ASM14749v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/495/GCF_000147495.1_ASM14749v1
GCF_000147515.1	PRJNA224116	SAMN00189107	AEBL00000000.1	na	749500	1351	Enterococcus faecalis TX0043	strain=TX0043	Scaffold	Full	9/23/10	ASM14751v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/515/GCF_000147515.1_ASM14751v1
GCF_000147535.1	PRJNA224116	SAMN00189105	AEBM00000000.1	na	749498	1351	Enterococcus faecalis TX0027	strain=TX0027	Scaffold	Full	9/24/10	ASM14753v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/535/GCF_000147535.1_ASM14753v1
GCF_000147555.1	PRJNA224116	SAMN00189110	AEBN00000000.1	na	749503	1351	Enterococcus faecalis TX0309A	strain=TX0309A	Scaffold	Full	9/24/10	ASM14755v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/555/GCF_000147555.1_ASM14755v1
GCF_000147575.1	PRJNA224116	SAMN00189111	AEBO00000000.1	na	749504	1351	Enterococcus faecalis TX0309B	strain=TX0309B	Scaffold	Full	9/24/10	ASM14757v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/575/GCF_000147575.1_ASM14757v1
GCF_000147595.1	PRJNA224116	SAMN00189128	AEBQ00000000.1	na	749491	1351	Enterococcus faecalis TX2137	strain=TX2137	Scaffold	Full	9/24/10	ASM14759v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/595/GCF_000147595.1_ASM14759v1
GCF_000147905.1	PRJNA224116	SAMN00189104	AEBP00000000.1	na	749497	1351	Enterococcus faecalis TX0017	strain=TX0017	Scaffold	Full	9/24/10	ASM14790v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/905/GCF_000147905.1_ASM14790v1
