assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000012825.1	PRJNA224116	SAMN02604309		representative genome	435590	821	Bacteroides vulgatus ATCC 8482	strain=ATCC 8482		latest	Complete Genome	Major	Full	6/27/07	ASM1282v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/825/GCF_000012825.1_ASM1282v1		assembly from type material
GCF_000178195.1	PRJNA224116	SAMN00007490	ADKO00000000.1	na	702446	821	Bacteroides vulgatus PC510	strain=PC510		latest	Contig	Major	Full	4/8/10	ASM17819v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/178/195/GCF_000178195.1_ASM17819v1		
GCF_000273295.1	PRJNA224116	SAMN02463934	AGXZ00000000.1	na	997891	821	Bacteroides vulgatus CL09T03C04	strain=CL09T03C04		latest	Scaffold	Major	Full	7/23/12	Bact_vulg_CL09T03C04_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/273/295/GCF_000273295.1_Bact_vulg_CL09T03C04_V1		
GCF_000403235.1	PRJNA224116	SAMN01730984	ASSN00000000.1	na	1235786	821	Bacteroides vulgatus dnLKV7	strain=dnLKV7		latest	Scaffold	Major	Full	6/14/13	Bact_vulg_dnLKV7_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/235/GCF_000403235.1_Bact_vulg_dnLKV7_V1		
GCF_000699705.1	PRJNA224116	SAMN02370946	JNHI00000000.1	na	1339350	821	Bacteroides vulgatus str. 3775 SL(B) 10 (iv)	strain=3775 SL(B) 10 (iv)		latest	Contig	Major	Full	6/9/14	ASM69970v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/699/705/GCF_000699705.1_ASM69970v1		
GCF_000699845.1	PRJNA224116	SAMN02370947	JNHJ00000000.1	na	1339351	821	Bacteroides vulgatus str. 3775 SR(B) 19	strain=3775 SR(B) 19		latest	Contig	Major	Full	6/9/14	ASM69984v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/699/845/GCF_000699845.1_ASM69984v1		
GCF_000699865.1	PRJNA224116	SAMN02370951	JNHM00000000.1	na	1339352	821	Bacteroides vulgatus str. 3975 RP4	strain=3975 RP4		latest	Contig	Major	Full	6/9/14	ASM69986v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/699/865/GCF_000699865.1_ASM69986v1		
GCF_001404375.1	PRJNA224116	SAMEA3545308	CYZI00000000.1	na	821	821	Bacteroides vulgatus	strain=2789STDY5834842		latest	Contig	Major	Full	10/2/15	13470_2#61	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/404/375/GCF_001404375.1_13470_2_61		
GCF_001405155.1	PRJNA224116	SAMEA3545360	CZAN00000000.1	na	821	821	Bacteroides vulgatus	strain=2789STDY5834897		latest	Contig	Major	Full	10/2/15	14207_7#20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/405/155/GCF_001405155.1_14207_7_20		
GCF_001406315.1	PRJNA224116	SAMEA3545407	CZBK00000000.1	na	821	821	Bacteroides vulgatus	strain=2789STDY5834944		latest	Contig	Major	Full	10/2/15	14207_7#67	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/406/315/GCF_001406315.1_14207_7_67		
GCF_001412315.1	PRJNA224116	SAMN04074912		na	821	821	Bacteroides vulgatus	strain=mpk		latest	Chromosome	Major	Full	10/26/15	ASM141231v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/412/315/GCF_001412315.1_ASM141231v1		
GCF_900109635.1	PRJNA224116	SAMN04487923	FOBA00000000.1	na	821	821	Bacteroides vulgatus	strain=NLAE-zl-G202		latest	Scaffold	Major	Full	10/31/16	IMG-taxon 2623620522 annotated assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/109/635/GCF_900109635.1_IMG-taxon_2623620522_annotated_assembly		
