Samples	1	2	3	4	5	6	7	8	9	10-11	12-13	14-15	16-17	18-19	20-21	22-23	24-25	26-27	28-29	30-31	32-33	34-35	36-37	38-39	40-41	42-43	44-45	46-47	48-49	50-51	52-53	54-55	56-57	58-59	60-61	62-63	64-65	66-67	68-69	70-71	72-73	74-75	76-77	78-79	80-81	82-83	84-85	86-87	88-89	90-91	92-93	94-95	96-97	98-99	100-101	102-103	104-105	106-107	108-109	110-111	112-113	114-115	116-117	118-119	120-121	122-123	124-125	126
s229.STL.V01_1.4d_R1	30.0650306267539	29.119161464913702	31.03670173419564	32.03226062554467	32.474277613072985	36.50844222614178	36.478260216909966	36.98275319714956	37.122059935869366	37.1667629043086	37.19922522026661	37.214558903858254	37.231343115547716	37.23952556677216	37.23891916121472	37.2535006233764	37.25253024105278	37.203919223760856	37.18125763583977	37.18568694412129	37.166764572205345	37.15606309653369	37.12832693411565	37.11857197239336	37.121644887349376	37.113806767671434	37.093925202129405	37.08438909896282	37.07085960107708	37.029594662758605	37.01420855422164	36.97974965427044	36.962773627983495	36.931310671656796	36.911570478635795	36.90540744843865	36.878423716460645	36.87310860616408	36.862439812000545	36.808813022040866	36.80758755143353	36.78781677320414	36.769800307403095	36.73099078834986	36.68728010588728	36.68586729430149	36.60001024616796	36.60441981881833	36.57877687577333	36.53257422949811	36.530901793523505	36.493313993661324	36.45988493523533	36.42744321702106	36.37440525723153	36.32838769185494	36.299244875525176	36.27713298216785	36.24417696882007	36.175552112277884	36.149347394684	36.091484412085926	36.061581980727894	36.03013409238721	35.975881438335826	35.93201823660692	35.90333072420276	32.859446305449524
s107.STL.V02_1mo_R1	27.063451858026873	30.85592484944852	31.777662566909896	32.42859355961218	32.690480867196456	36.284676024168746	36.54338737176133	36.57585847055653	36.90145133527182	36.93747909835857	36.97742991082347	36.960798974744336	36.95174285058803	37.00340662383977	37.05375178432442	37.100436466221545	37.12121540859408	37.10235741980644	37.0885332570472	37.10988792517817	37.09963101047678	37.089113859639134	37.07172768628438	37.06409244096011	37.08024601727641	37.096068589102	37.09299149785454	37.09306821556557	37.0817457255892	37.045607563791634	37.021953135996796	36.995385419899726	36.98778581927402	36.95301164611328	36.95696261166845	36.94117501421013	36.920677448634756	36.92824076679013	36.91407788384016	36.88486986106652	36.87355600966493	36.85670379740704	36.847525900909254	36.806814284641746	36.79059449602956	36.77536200306368	36.68635899777114	36.70330373716068	36.672433703526615	36.6544568948011	36.63687875845879	36.599999302377284	36.56855462002653	36.52346359114911	36.503737406400965	36.440964239101035	36.41837652494029	36.398657395122385	36.35933567984014	36.32380818943782	36.28275398748374	36.233825302067416	36.20747330358178	36.17858201178645	36.16168813165167	36.103223437348156	36.12568550779058	34.09487933179067
s176.STL.V05_4mo_R1	24.180598581203043	25.615767475608806	28.672710046113895	28.843365055378648	31.721994950857816	36.12637727046491	36.581576027968175	36.83041598455274	36.873032663512454	36.957441488117716	36.99072025233718	37.024148332044064	37.03489604883636	37.04191687504872	37.049629709584366	37.062720300310026	37.078287489281074	37.0370722171251	37.01155186164631	37.030118552899054	37.01923231450999	37.00908245932802	36.99162240929118	36.983650157465846	37.00084881735025	37.00221865818985	36.99721235391732	36.995742294216825	36.98413570008285	36.94629186397171	36.92097997648212	36.889617950748956	36.87441519791654	36.841988101745	36.840813003469016	36.827166817756336	36.799370446084794	36.81190534428298	36.79178913772438	36.7577259072524	36.743029691979864	36.723679440852756	36.70881880276124	36.66670778942324	36.647088387757506	36.63116123329724	36.54062415099799	36.55576539520018	36.515680443360566	36.491773577170896	36.47139496776035	36.44168139447017	36.39470132593858	36.3393782277454	36.321512562196595	36.25502286184526	36.22629044706603	36.200728560081295	36.15795170546173	36.112138076471524	36.0603445536444	36.00725800751189	35.97789215144781	35.94220308189722	35.92341879716928	35.85559535900765	35.876503972411776	33.81786254147117
s253.STL.V02_1mo_R1	29.741781699363035	31.273496774350342	32.015257587733934	32.159420592550426	32.03636495856696	36.15246081457978	36.617688222073404	36.93167303720685	37.02056509485747	37.10977006245477	37.084287838416955	37.14484445736422	37.18210979151805	37.195795044744415	37.211001651701224	37.22496506819937	37.22878274043417	37.194318405997244	37.175358018915475	37.19086443461369	37.17505593170361	37.17001500562689	37.15143688039079	37.14536950496122	37.158373514445465	37.16031324194967	37.152259436386686	37.150834942835424	37.14116346300804	37.11569023413397	37.10064108897535	37.07582597867212	37.06932234061	37.03772530452896	37.04252841456726	37.030111945685064	37.01186122894728	37.01767534362385	37.004740788603904	36.97721350362176	36.96881224970829	36.9540965640869	36.944490663061906	36.90297161357911	36.88702171085221	36.87169045721127	36.790110686825116	36.806525267464636	36.77033930837779	36.75124443632329	36.737038636503335	36.701623005281895	36.671352931234104	36.62757908443078	36.606551440470035	36.544919520179725	36.525753162311396	36.503958296430966	36.47035170925458	36.435831740758346	36.397477350550325	36.35116174923597	36.33575793531764	36.306801309982255	36.29125550963356	36.23371339365023	36.24632546681714	34.06347783087057
s314.STL.V01_1.4d_R1	25.1660196712002	26.267252551497908	28.76165047889165	28.448799122481415	31.210622701907	34.4674093135622	36.1052290637581	36.621350017607476	36.8983414073926	37.000567285942246	37.04171722867829	37.09705804439622	37.15895090369186	37.18184330059295	37.201336839759264	37.21461640683741	37.223116872404496	37.16382220651826	37.124683243868326	37.137329199541895	37.115575241032076	37.09141780242825	37.05438670168233	37.0500180935641	37.06500556535353	37.067509872664616	37.05675041768343	37.059305444637474	37.04307473622475	36.99529069741396	36.97147749422985	36.93970178135395	36.92185565810125	36.8881677452746	36.873379641275775	36.863595392081706	36.83858864089189	36.83939837373082	36.82941830046193	36.78299629392573	36.77771867756744	36.762087275122816	36.74488962358271	36.70664636386169	36.67780735379685	36.66836068900949	36.58274906210664	36.58845537719742	36.56364352428509	36.528612072834356	36.52529436945707	36.4868043038068	36.45186837294986	36.413897620752	36.37318487840895	36.322065801195976	36.29874857273309	36.27074568651051	36.23286114211602	36.17124886834597	36.133324894640744	36.068142850211174	36.03513349971977	35.99666322126377	35.94522549428537	35.868447664139275	35.8252097414987	32.50381382819515
sNA.MockDNA.3_R1	28.61971285158653	27.20295502353115	30.85380345530808	31.415272701676034	32.19876499376111	36.48573339023635	36.79590865031192	36.78351470428404	36.998380566443146	37.05405269002833	37.07222178935013	37.115294577089	37.116107392838146	37.13097376411388	37.14472113026545	37.16174477253444	37.172044174056786	37.141895311677864	37.12849904230737	37.147827101340106	37.133631186846024	37.13172913822716	37.11712673688131	37.1072911856687	37.12175822958353	37.121074926059094	37.1117818719592	37.117143303884795	37.106017037583406	37.078394373535	37.06524325364566	37.043842365478994	37.04380224488486	37.0127110774713	37.019775741826	37.00998315794318	36.991948184300014	37.00396498339393	36.9925860242673	36.96881624200347	36.96425934391194	36.948984558893116	36.943568906828425	36.90589084115013	36.89494012181314	36.88277578967572	36.7998078798655	36.82448544099724	36.79500214151183	36.77835915474331	36.76580201344362	36.730012416198115	36.69848849446493	36.66212758274458	36.64464098501351	36.584297298394375	36.57080174607515	36.55411655289497	36.51877059820588	36.48406797145103	36.45248518965697	36.40601312253715	36.382146054112674	36.35523709214903	36.349008280124465	36.29824326648336	36.32382927097136	34.463171506565516
s161.STL.V02_1mo_R1	27.91617237912806	31.113918879395968	31.925814098284768	32.49822556368252	32.75458295539433	36.44269601943649	36.69591403499543	36.76141923129944	37.02367658864921	37.04582795548298	37.07654338855966	37.05468584780352	37.04533451561274	37.08647171650327	37.12926734423948	37.163920366448494	37.18018324749601	37.155243778283655	37.13423521373304	37.15613818951404	37.143738302781905	37.129635183875735	37.10868100123314	37.10376560541964	37.12326936999712	37.13980311079881	37.13711234994681	37.14072128399588	37.13028369334718	37.0972116778057	37.07543737265678	37.05292318284933	37.047770688226414	37.01870616338947	37.02312357668086	37.011202505574886	36.993208192216294	37.00449158035544	36.99176361686864	36.965084886902275	36.958125621078274	36.94343398928507	36.936694877581296	36.8983953250343	36.885302915598785	36.87378933093538	36.78872323948272	36.810838245210206	36.781535606959295	36.76613357824397	36.75115613467196	36.71783531932913	36.68762341612213	36.645530195064005	36.627790378926285	36.567845062140016	36.547580474805	36.527273248863246	36.48923248697896	36.45427997163962	36.41794288634014	36.368713589761775	36.34463370123804	36.316305952483454	36.298985933085376	36.23958845790564	36.257706533107935	34.18455384968468
s305.STL.V05_4mo_R1	26.239610978770514	30.626838890067415	31.4790178513765	32.05599025410519	32.330262625519765	35.95418223887706	36.27400554391442	36.665877161369664	36.94116471076562	36.954361849974525	36.96988683511748	37.010722788336906	37.03552058184919	37.069105413386545	37.11058783855412	37.14185704259943	37.158475636484816	37.132070536018404	37.11968429407719	37.13814077437228	37.12582877401201	37.12287022373829	37.10447495455514	37.0970562065708	37.11476584951807	37.12181486553254	37.11685053303994	37.11609549744259	37.102639567382326	37.07083220779208	37.0519410491265	37.024816613432115	37.02118458996368	36.98862505351397	36.99405360245818	36.98134398528111	36.962299327835055	36.97216946408679	36.95736502260687	36.929165068945046	36.920166328371735	36.90336176895198	36.89354836989827	36.85133667027132	36.832898944391076	36.81853759331646	36.728930293335424	36.74705885909885	36.71257173633468	36.6903701771748	36.67305634796891	36.63671057939119	36.60522617830837	36.56084858623184	36.538852243012094	36.47358270731896	36.45317853812935	36.433274566001295	36.397835801600316	36.3588530948302	36.32150093975859	36.27403392334908	36.251140739213035	36.22327646510499	36.207826418135255	36.14232969074047	36.165109150495475	34.40107229763008
sNA.MockDNA.4_R1	31.485072671561607	32.17332865753591	31.704630707363556	32.11880931001656	32.216505959002596	35.36982510307832	36.4980351305525	36.44251651079385	36.77853357168358	36.90834384930307	36.950718967192074	37.01852855104258	37.03257198908803	37.07045639906875	37.1099230076891	37.13913572768786	37.155629103418654	37.13346934949341	37.12601713900736	37.14310178072297	37.1293102192424	37.131433329666734	37.11785121405581	37.109739029268106	37.1231962838625	37.126330695812825	37.11866933203208	37.123303124905036	37.113974798791716	37.08560763185525	37.07240964344388	37.05262772805576	37.05130324858783	37.02159017327145	37.02823648032124	37.016847834408594	36.999378667892415	37.01060701437585	36.999448722858155	36.97225239529248	36.966123630197224	36.954301653069244	36.94738654219519	36.90919506802682	36.89811702421744	36.88306603706025	36.79451198542877	36.82143827231816	36.79179283067632	36.773577869819476	36.76110322394936	36.72854165568954	36.69258544945136	36.65497002979825	36.63905201899102	36.576621448247906	36.561585557807604	36.54353287007187	36.50963247389038	36.47036486934238	36.443936002870544	36.398006221690046	36.37212844434414	36.34361607266473	36.33199399202797	36.27801289784863	36.30820045572311	34.45377672645112
s193.STL.V05_4mo_R1	25.743053496138323	30.497924107430663	31.282772670423046	31.978905836997303	32.144145596142195	35.750744613639	36.12424410433616	36.61551504055082	36.91690627538456	36.911432881622545	36.93344250035457	37.00998620369535	37.036605335430714	37.06195121007775	37.10665703933881	37.13441726730018	37.15432842941321	37.121030338976496	37.120469461170494	37.14704024137086	37.13183851876684	37.123051433139494	37.11769163558058	37.10056492822598	37.1196654149496	37.148186550151614	37.13589282568513	37.1358578654046	37.12451191423975	37.09532417739881	37.0748925888567	37.04149035468518	37.00494978805385	36.979613613270004	36.98505439031796	36.96810141572902	36.95002087858329	36.96011196318192	36.93727533793953	36.9130762401867	36.90898442886957	36.86896490370384	36.876190404636326	36.8307891240916	36.82449714620235	36.80515500105416	36.73578133020588	36.748654114915	36.72264304067366	36.7243547128212	36.69722683254112	36.676742620143756	36.65447811163033	36.60347636303355	36.600800893164944	36.55567167953552	36.525973617143826	36.52179752653606	36.485806785726616	36.46717512274065	36.45696066924441	36.4198168759366	36.39635865624357	36.37275758237006	36.37839914508013	36.333185247681996	36.36016251640111	34.66387242857831
s241.STL.V02_1mo_R1	25.844234170093756	30.523371835345863	31.439054873955087	32.040868184472416	32.32497535725475	35.93913241923581	36.27639870348454	36.68777069288009	36.966522557349684	36.9759569295816	36.993417628696534	37.033543147963684	37.06520972615587	37.09610085154086	37.13537870721088	37.165636199177904	37.18288390898994	37.15916962535741	37.14410645457773	37.163208095102775	37.1525319575031	37.15171695139837	37.13340007352562	37.128163519835866	37.14318667848494	37.152870379790365	37.14871190428029	37.145396634845774	37.1341860565058	37.10279753836297	37.08213176523225	37.05876183775065	37.055871156841214	37.02272858336464	37.02835846982352	37.015398446471245	36.99767920886928	37.00657680560817	36.993764572636856	36.96423710715048	36.95697591819729	36.94131502797832	36.933104270565856	36.89318035164218	36.8760954188277	36.86326723954015	36.77761623332901	36.797134714872755	36.7642492526012	36.74133215951608	36.72637198146471	36.690961257651786	36.660957930513895	36.62212183175709	36.59726547552148	36.538411376775066	36.51780714197474	36.497964107113255	36.4669224812283	36.436625793631066	36.40142373107186	36.356250852248934	36.33653437530173	36.31551632234972	36.30464144552394	36.250905864926025	36.26994694505299	34.42028269733552
s237.STL.V01_1.4d_R1	29.65724960319406	31.215223016398216	31.99243551957861	32.13568862911272	31.97488235077384	36.101806290233625	36.568771814897964	36.877799436537025	36.95858625390533	37.05687634015386	37.04191448603513	37.09502555775496	37.1307559345371	37.14483293534275	37.16005981028165	37.1736299787142	37.175116677338096	37.14095988887403	37.12369088853488	37.135822952746814	37.12095234005986	37.11540938681407	37.09990371643643	37.09081005354738	37.10296531318403	37.09846847159147	37.08741494449099	37.085558900441974	37.07292569171089	37.04592332385572	37.027720894055705	37.00106419361546	36.994046551298354	36.96047017653512	36.96567195958971	36.94776098946675	36.92413982763185	36.933759126166784	36.91399207529839	36.88358730628213	36.87189118284733	36.85333504344867	36.844040473232226	36.7998663214736	36.78132987354525	36.76455308323972	36.67565220678984	36.69393831250002	36.65708650946717	36.633375233323825	36.612725154280035	36.574651585501385	36.541542844771385	36.50126166739226	36.471102800936706	36.4001661595789	36.37530792787524	36.354392735142476	36.31209853705001	36.2680690460528	36.22670991782685	36.170474055177095	36.1427604620399	36.107375987465076	36.08346435004769	36.0191982655662	36.03350975856067	33.909051314328806
