Samples	both_kept	dropped	false	fwd_only	input	rev_only	true
s288.STL.V02_1mo	417661	2569	416948	3133	423937	574	713
s253.STL.V02_1mo	5266691	30438	4960004	37041	5339957	5787	306687
s256.STL.V05_4mo	7189865	26208	7188766	49380	7273716	8263	1099
s287.STL.V02_1mo	4840285	22222	4836905	34367	4904687	7813	3380
sNA.NegativeControl.2	87213	1765	86110	1515	90799	306	1103
s117.STL.V05_4mo	7110852	79194	7105769	81055	7286932	15831	5083
s176.STL.V05_4mo	833805	6422	833156	7995	850154	1932	649
s257.STL.V02_1mo	7575339	37529	7562687	61306	7685287	11113	12652
s281.STL.V01_1-4d	3181648	49261	189355	15939	3249943	3095	2992293
s149.STL.V02_1mo	7332155	26668	7330877	50640	7417899	8436	1278
s261.STL.V02_1mo	588500	4863	587849	3808	597801	630	651
s283.STL.V01_1.4d	2387050	23640	55348	13495	2426330	2145	2331702
s277.STL.V01_1.4d	5958985	52843	4930401	23893	6040050	4329	1028584
s281.STL.V05_4mo	6582673	34067	6580381	81726	6722046	23580	2292
s263.STL.V05_4mo	2445447	24670	2443426	15257	2488446	3072	2021
s170.STL.V01_1.4d	7271	405	5036	614	8346	56	2235
s196.STL.V01_1.4d	6424517	82025	77710	33102	6544312	4668	6346807
s263.STL.V01_1.4d	984594	9400	5199	5705	1000581	882	979395
s208.STL.V01_1.4d	2868157	9545	2865387	65454	2950293	7137	2770
s104.STL.V01_1.4d	1824493	19500	1332884	16132	1862697	2572	491609
s200.STL.V02_1mo	7154657	18215	7146478	75609	7261300	12819	8179
s133.STL.V02_1mo	8052859	48833	8050092	75057	8192230	15481	2767
sNA.NegativeControl.6	19613	915	16762	352	20972	92	2851
s157.STL.V02_1mo	4755773	31068	4753595	30828	4823172	5503	2178
s206.STL.V01_1.4d	9437719	75835	38626	53192	9574157	7411	9399093
s170.STL.V02_1mo	14173796	131498	14142651	183292	14520677	32091	31145
s298.STL.V05_4mo	14013413	112455	14008202	102991	14248840	19981	5211
s161.STL.V05_4mo	3281972	26919	3280822	22220	3335638	4527	1150
s252.STL.V02_1mo	10495180	54236	10493326	88872	10652796	14508	1854
s322.STL.V01_1.4d	2730974	55311	221150	14902	2803344	2157	2509824
sNA.EnvironmentalBlank.4	6122898	19943	5991490	47988	6201000	10171	131408
s117.STL.V02_1mo	17540824	87290	17482120	252767	17942232	61351	58704
s142.STL.V05_4mo	12679716	280593	12668145	89256	13062919	13354	11571
s207.STL.V02_1mo	5168537	23771	5013053	49604	5250803	8891	155484
s160.STL.V01_1.4d	2377224	7263	2327620	26405	2416908	6016	49604
s256.STL.V02_1mo	8157326	49757	8155059	72840	8292362	12439	2267
s248.STL.V01_1.4d	10428551	188691	208584	56633	10682678	8803	10219967
s196.STL.V02_1mo	9795543	57267	9791279	58150	9920434	9474	4264
s295.STL.V01_1.4d	6487122	82038	80419	36491	6611734	6083	6406703
s245.STL.V02_1mo	4637369	26775	4635652	22192	4689863	3527	1717
s180.STL.V01_1.4d	7588152	320789	76534	34340	7949594	6313	7511618
s173.STL.V01_1.4d	4563126	47912	4268315	21221	4635706	3447	294811
s248.STL.V05_4mo	4171566	44934	4163688	24316	4245807	4991	7878
s267.STL.V05_4mo	6545973	31676	6544033	85207	6670748	7892	1940
s221.STL.V02_1mo	5376349	14386	5375619	46103	5445797	8959	730
s161.STL.V01_1.4d	9424522	33285	9422169	91620	9561850	12423	2353
s191.STL.V01_1.4d	744165	15941	33322	4252	765543	1185	710843
s196.STL.V05_4mo	9466547	57223	9464456	74516	9612337	14051	2091
s256.STL.V01_1.4d	4425516	12577	4411161	27050	4468717	3574	14355
sNA.MockDNA.5	5122139	35745	5121298	38753	5204075	7438	841
s221.STL.V05_4mo	5840895	30438	5839596	36654	5914564	6577	1299
s191.STL.V05_4mo	3559886	12149	3558618	43880	3621077	5162	1268
s172.STL.V05_4mo	16580415	147070	16418866	135876	16887589	24228	161549
s153.STL.V01_1.4d	15508274	337237	94723	79805	15938281	12965	15413551
s251.STL.V01_1.4d	1761080	32712	9572	8685	1803841	1364	1751508
s305.STL.V05_4mo	8593567	50777	8590680	71050	8729129	13735	2887
s229.STL.V02_1mo	12568828	115799	12566069	106034	12814422	23761	2759
sNA.NegativeControl.1	107777	1593	106881	2126	111956	460	896
s180.STL.V05_4mo	5208868	68576	5200235	27105	5309908	5359	8633
s229.STL.V05_4mo	7258045	48948	7256241	76563	7398863	15307	1804
s173.STL.V05_4mo	2825172	9418	2824174	26636	2865272	4046	998
s253.STL.V05_4mo	6240148	37663	6238584	44505	6330789	8473	1564
s128.STL.V01_1.4d	9335648	30907	9312978	99787	9485442	19100	22670
s193.STL.V05_4mo	155114	2269	154654	2258	160164	523	460
s101.STL.V05_4mo	7004826	53117	7002035	44328	7111374	9103	2791
s149.STL.V05_4mo	6865504	29447	6853386	40345	6942269	6973	12118
s107.STL.V01_1.4d	8217797	87343	453005	44301	8356096	6655	7764792
s145.STL.V01_1.4d	10465728	73006	6109005	74044	10625545	12767	4356723
s128.STL.V02_1mo	11749546	93034	11745845	90067	11952374	19727	3701
sNA.MockDNA.7	3453593	13711	3423128	26057	3497808	4447	30465
s281.STL.V02_1mo	7465799	26777	7451002	49770	7551699	9353	14797
s314.STL.V01_1.4d	5043312	136605	43646	24713	5208549	3919	4999666
s202.STL.V05_4mo	8834178	62337	8829643	71551	8982471	14405	4535
s133.STL.V01_1.4d	5502142	134196	68161	29542	5670291	4411	5433981
s210.STL.V02_1mo	6398487	18186	6396762	110048	6537284	10563	1725
s111.STL.V01_1.4d	12420165	118517	8810701	86199	12642674	17793	3609464
s191.STL.V02_1mo	6794648	34378	6793467	66379	6903092	7687	1181
s170.STL.V05_4mo	10297603	63997	10229267	111234	10496571	23737	68336
s253.STL.V01_1.4d	8567745	116720	61492	54810	8745697	6422	8506253
s291.STL.V05_4mo	466672	3082	466296	6128	476980	1098	376
s187.STL.V01_1.4d	5177327	61239	2554396	26720	5268932	3646	2622931
s283.STL.V02_1mo	5543055	36873	5540793	57634	5649552	11990	2262
