subjectid	NonHostReads	estNumReads	estCoverage	full	partial
s325	5427246	130425350.70114	27.7500746172638	3303	124
s193	6153318	74395152.9495	15.8287559467021	1554	3075
s237	3444558	53939194.8615	11.476424438617	3193	212
s176	837850	27435280.951	5.8372938193617	3563	144
s184	11820686	19351881.46432	4.11742158815319	2761	904
GCF_000012825	NA	NA	NA	4255	1
GCF_000178195	NA	NA	NA	3927	88
GCF_000273295	NA	NA	NA	4086	8
GCF_000403235	NA	NA	NA	4259	9
GCF_000699705	NA	NA	NA	4538	163
GCF_000699845	NA	NA	NA	4489	250
GCF_000699865	NA	NA	NA	4128	237
GCF_001404375	NA	NA	NA	4247	62
GCF_001405155	NA	NA	NA	4480	70
GCF_001406315	NA	NA	NA	4158	52
GCF_001412315	NA	NA	NA	4819	1
GCF_900109635	NA	NA	NA	4131	143
GCF_001640865	NA	NA	NA	4409	0
