#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000147235.1	PRJNA224116	SAMN00189137	AEBC00000000.1	na	749523	1352	Enterococcus faecium TX0133a04	strain=TX0133a04		latest	Scaffold	Major	Full	2010/09/24	ASM14723v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/235/GCF_000147235.1_ASM14723v1		
GCF_000147315.1	PRJNA224116	SAMN00189143	AEBG00000000.1	na	749525	1352	Enterococcus faecium TX0133C	strain=TX0133C		latest	Scaffold	Major	Full	2010/09/24	ASM14731v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/315/GCF_000147315.1_ASM14731v1		
GCF_000148025.1	PRJNA224116	SAMN00189133	AEBU00000000.1	na	749520	1352	Enterococcus faecium TX0082	strain=TX0082		latest	Scaffold	Major	Full	2010/09/24	ASM14802v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/025/GCF_000148025.1_ASM14802v1		
GCF_000148145.1	PRJNA224116	SAMN00189138	AECI00000000.1	na	749524	1352	Enterococcus faecium TX0133B	strain=TX0133B		latest	Scaffold	Major	Full	2010/09/24	ASM14814v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/145/GCF_000148145.1_ASM14814v1		
GCF_000148285.1	PRJNA224116	SAMN00189134	AECH00000000.1	na	749521	1352	Enterococcus faecium TX0133A	strain=TX0133A		latest	Scaffold	Major	Full	2010/09/24	ASM14828v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/285/GCF_000148285.1_ASM14828v1		
GCF_000148325.1	PRJNA224116	SAMN00189136	AECJ00000000.1	na	749522	1352	Enterococcus faecium TX0133a01	strain=TX0133a01		latest	Scaffold	Major	Full	2010/10/04	ASM14832v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000148325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/325/GCF_000148325.1_ASM14832v1		
GCF_000157435.1	PRJNA224116	SAMN02595263	ACAS00000000.1	na	565656	1352	Enterococcus faecium 1,230,933	strain=1,230,933		latest	Scaffold	Major	Full	2009/06/22	ASM15743v1	Broad Institute	GCA_000157435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/435/GCF_000157435.1_ASM15743v1		
GCF_000157535.1	PRJNA224116	SAMN02595268	ACAX00000000.1	na	565657	1352	Enterococcus faecium 1,231,502	strain=1,231,502		latest	Scaffold	Major	Full	2009/06/16	ASM15753v1	Broad Institute	GCA_000157535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/535/GCF_000157535.1_ASM15753v1		
GCF_000157555.1	PRJNA224116	SAMN02595269	ACAY00000000.1	na	565658	1352	Enterococcus faecium 1,231,501	strain=1,231,501		latest	Scaffold	Major	Full	2009/06/16	ASM15755v1	Broad Institute	GCA_000157555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/555/GCF_000157555.1_ASM15755v1		
GCF_000157575.1	PRJNA224116	SAMN02595270	ACAZ00000000.1	na	565659	1352	Enterococcus faecium 1,141,733	strain=1,141,733		latest	Scaffold	Major	Full	2009/06/16	ASM15757v1	Broad Institute	GCA_000157575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/575/GCF_000157575.1_ASM15757v1		
