SampleID	gene_name	source	gene_unique_identifier	bin_id	e_value	contig	gene_callers_id	start	stop	length	partial	query_id	flag	multi	len	subject_id	pct_identity	alignment_len	mismatches	gap_openings	query_start	query_end	subject_start	subject_end	blast_e_value	bit_score	taxaID	superkingdom	phylum	class	order	family	genus	species	Genus	geneMeanCov	geneStdCov	genLen
s101.STL.V01_1.4d	Peptidase_A8	Campbell_et_al	0cfffc2a848e86d0c42034712d794617c14cb484b57b87db5f36345e	contigs	1e-44	c_000000002921	3408	12695	13208	513	0	k141_3031	0	75.9265	59332	NZ_KI973270.1	99.997	59332	2	0	1	59332	1120546	1179877	0	109600	1329816	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. MGH 7	Enterobacter Enterobacter sp. MGH 7	93.9280155642023	24.9987265397249	514
s101.STL.V01_1.4d	Enolase_C	Campbell_et_al	e15a827c663b67c2a5796530ee0ab8596a6d8c471cac5a90113043e3	contigs	1e-141	c_000000002130	2441	1607	2906	1299	0	k141_2212	0	156.1790	4543	NZ_LNIO01000047.1	99.472	4543	22	2	1	4543	17124	12584	0	8255	1736701	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. 50858885	Enterobacter Enterobacter sp. 50858885	140.603846153846	31.3470845224791	1300
s101.STL.V01_1.4d	RNA_pol_Rpb2_2	Campbell_et_al	eb072f1938df36713894fa8a4831c5b7fc4e8824e02c306bf3531dc4	contigs	4e-28	c_000000004985	7639	4137	8166	4029	0	k141_5173	0	203.8487	29975	NZ_KK736372.1	98.536	29990	415	21	1	29975	2972073	3002053	0	52927	1438677	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	Escherichia Escherichia coli	218.251612903226	61.7645166228557	4030
s101.STL.V01_1.4d	IF3_C	Campbell_et_al	1cbb9b3befa8c820d7e69f23beaccb86f3d85fbc2d19de8220518432	contigs	7.8e-38	c_000000004855	7312	4581	5016	435	0	k141_5035	0	186.4843	67927	NZ_KE702072.1	99.997	67927	2	0	1	67927	515156	583082	0	125400	1281219	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	Escherichia Escherichia coli	190.933486238532	18.9290915861795	436
s101.STL.V01_1.4d	Ribosomal_L1	Campbell_et_al	d9d523c86b42e80278c8e360f87faeba97a03db610d86613f7141481	contigs	1.4e-51	c_000000004985	7636	1894	2599	705	0	k141_5173	0	203.8487	29975	NZ_KK736372.1	98.536	29990	415	21	1	29975	2972073	3002053	0	52927	1438677	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	Escherichia Escherichia coli	152.849858356941	22.6373846629214	706
s101.STL.V01_1.4d	RNA_pol_Rpb2_45	Campbell_et_al	9570e6228c04e82afb7043147ff9a022d8135a513ff5ae77b0f0d180	contigs	7.4e-31	c_000000000445	357	4204	8233	4029	0	k141_459	0	255.4850	12514	NZ_KE702433.1	96.676	12514	414	2	2	12514	21199	8687	0	20803	1281255	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	Escherichia Escherichia coli	238.825558312655	76.1445509882078	4030
s101.STL.V01_1.4d	Ribosomal_S16	Campbell_et_al	093b78500714ce83b36d86a8932084c1e646e8cd5c99108c850375b8	contigs	3.4e-27	c_000000001973	2216	1610	1859	249	0	k141_2047	0	142.2359	7304	NZ_KQ089930.1	99.439	7304	41	0	1	7304	18125	25428	0	13261	1686391	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. MGH119	Enterobacter Enterobacter sp. MGH119	115.312	9.20312152387073	250
s101.STL.V01_1.4d	S-AdoMet_synt_C	Campbell_et_al	619ba3247dbcc100d14404c67f7555c9dfc133a08458548ee21fbfa2	contigs	5.2e-66	c_000000003195	3959	22874	24026	1152	0	k141_3316	0	234.8114	27433	NZ_KE702074.1	99.996	27410	0	1	24	27433	1078704	1051296	0	50610	1281219	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	Escherichia Escherichia coli	262.862966175195	58.7497366177289	1153
s101.STL.V01_1.4d	SmpB	Campbell_et_al	ea8a75bdbeda7550e9e7d7312f59d21b4b6c1ca7903c80d00bed0ec8	contigs	1.6e-30	c_000000000266	139	221	704	483	0	k141_279	0	124.7953	4562	NZ_KQ089989.1	99.342	4562	30	0	1	4562	699220	703781	0	8259	1686399	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. BIDMC100	Enterobacter Enterobacter sp. BIDMC100	124.919421487603	21.5684119074914	484
s101.STL.V01_1.4d	RNA_pol_Rpb1_4	Campbell_et_al	1d6e78be98d8844ff11b2323677de9aa7494970f926814798de4c407	contigs	1.6e-20	c_000000004985	7640	8242	12466	4224	0	k141_5173	0	203.8487	29975	NZ_KK736372.1	98.536	29990	415	21	1	29975	2972073	3002053	0	52927	1438677	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	Escherichia Escherichia coli	290.969704142012	57.5488102328486	4225
s101.STL.V01_1.4d	Ribosomal_L9_N	Campbell_et_al	8ded36a4fb542a93888ea9498dbf20c1c54679c8545324371f34cad3	contigs	1.9e-24	c_000000000460	391	5427	5877	450	0	k141_475	0	168.2720	6730	NZ_LJDO02000013.1	99.435	6730	38	0	1	6730	77689	84418	0	12218	1903134	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. ST121:950178628	Enterobacter Enterobacter sp. ST121:950178628	140.19955654102	15.3189816829614	451
s101.STL.V01_1.4d	RuvA_N	Campbell_et_al	9486551884caf72fa9ab3140132cc1171bfae50702b970f81bd24845	contigs	1.5e-26	c_000000005471	9601	6178	6790	612	0	k141_5675	0	177.8979	76455	NZ_KE702072.1	100	76455	0	0	1	76455	667585	591131	0	141200	1281219	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	Escherichia Escherichia coli	185.285481239804	50.9547575947616	613
s101.STL.V01_1.4d	Ribosomal_L17	Campbell_et_al	616c315eb483041e53c38967932721767ec356c0e41056914b4331da	contigs	7.3e-40	c_000000002708	3111	1623	2007	384	0	k141_2807	0	272.6057	12863	NZ_KE700973.1	99.837	12863	21	0	1	12863	17971	5109	0	23638	1281140	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	Escherichia Escherichia coli	409.246753246753	53.2141790325494	385
s101.STL.V01_1.4d	RNA_pol_Rpb2_3	Campbell_et_al	f0f23989ecad74a3390f95433a90a6c19422373c0539147fee0c24f6	contigs	7.1e-32	c_000000004985	7639	4137	8166	4029	0	k141_5173	0	203.8487	29975	NZ_KK736372.1	98.536	29990	415	21	1	29975	2972073	3002053	0	52927	1438677	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	Escherichia Escherichia coli	218.251612903226	61.7645166228557	4030
s101.STL.V01_1.4d	Peptidase_A8	Campbell_et_al	309e5aa2e0c43d20e0e8cd62e02984e7d40aa90bb32f80e6dcc4f220	contigs	3.9e-44	c_000000003089	3839	4682	5204	522	0	k141_3204	0	29.7697	5681	NZ_KI535474.1	100	5681	0	0	1	5681	31199	36879	0	10491	1329856	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae	Enterobacter Enterobacter cloacae	35.2925430210325	5.73559179618423	523
