"assembly_accession"	"species_taxid"	"taxid"	"organism_name"	"infraspecific_name"	"assembly_level"	"seq_rel_date"	"atcc"	"seq_accession"	"start"	"end"	"seq_len"	"strand"
"1"	"GCF_000019385.1"	562	481805	"Escherichia coli ATCC 8739"	"strain=ATCC 8739"	"Complete Genome"	"2008/03/11"	"ATCC 8739"	"NC_010468.1"	1	4746218	4746218	"*"
"2"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000224.1"	1	5974	5974	"*"
"3"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000223.1"	1	18983	18983	"*"
"4"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000222.1"	1	10207	10207	"*"
"5"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000221.1"	1	650	650	"*"
"6"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000220.1"	1	61485	61485	"*"
"7"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000219.1"	1	1579	1579	"*"
"8"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000218.1"	1	38486	38486	"*"
"9"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000217.1"	1	8857	8857	"*"
"10"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000216.1"	1	299	299	"*"
"11"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000215.1"	1	119065	119065	"*"
"12"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000214.1"	1	215	215	"*"
