organism_name	pathovar	serotype	assembly_accession	taxid	species_taxid	assembly_level	seq_rel_date	phylo_group
Escherichia coli HS	Commensal	O9	GCF_000017765.1	331112	562	Complete Genome	9/10/07	A
Escherichia coli str. K-12 substr. MG1655	NA	NA	GCF_001566335.1	511145	562	Complete Genome	2/23/16	A
Escherichia coli str. K-12 substr. W3110	Laboratory adapted	NA	GCF_000010245.2	316407	562	Complete Genome	1/23/06	A
Escherichia coli K-12	Laboratory adapted	NA	GCF_001559675.1	83333	562	Complete Genome	2/11/16	A
Escherichia coli B171	EPEC	O111:NM	GCF_000167895.3	344601	562	Contig	6/27/17	B1
Escherichia coli B7A	ETEC	O148:H28	GCF_000725265.1	340184	562	Complete Genome	7/14/14	B1
Escherichia coli O139:H28 str. E24377A	ETEC	O139:H28	GCF_000017745.1	331111	562	Complete Genome	9/11/07	B1
Escherichia coli 55989	NA	NA	GCF_000026245.1	585055	562	Complete Genome	12/18/08	B1
Escherichia coli E1167	NA	NA	GCF_000190795.1	656372	562	Scaffold	3/3/11	B1
Escherichia coli IAI1	NA	NA	GCF_000026265.1	585034	562	Complete Genome	12/18/08	B1
Escherichia coli O103:H2 str. 12009	NA	O103:H2	GCF_000010745.1	585395	562	Complete Genome	9/10/09	B1
Escherichia coli O104:H4 str. TY-2482	NA	O104:H4	GCF_000221885.1	1038844	562	Scaffold	7/28/11	B1
Escherichia coli CFT073	ExPEC/UPEC	O6:K2:H1	GCF_000007445.1	199310	562	Complete Genome	12/6/02	B2
Escherichia coli LF82	NA	NA	GCF_000284495.1	591946	562	Complete Genome	1/27/09	B2
Escherichia coli O83:H1 str. NRG 857C	NA	O83:H1	GCF_000183345.1	685038	562	Complete Genome	11/30/10	B2
Escherichia coli TW10509	NA	NA	GCF_000190995.1	656449	562	Scaffold	3/3/11	C-I
Escherichia coli 042	NA	NA	GCF_000027125.1	216592	562	Complete Genome	1/28/10	D1
Escherichia coli UMN026	NA	NA	GCF_000026325.1	585056	562	Chromosome	12/18/08	D1
Escherichia coli IAI39	NA	NA	GCF_000026345.1	585057	562	Complete Genome	12/18/08	D2
Escherichia coli SMS-3-5	NA	NA	GCF_000019645.1	439855	562	Complete Genome	3/20/08	D2
Escherichia coli O157:H7 str. EDL933	EHEC	O157:H7	GCF_000732965.1	155864	562	Complete Genome	7/24/14	E
Shigella dysenteriae	NA	NA	GCF_001932975.2	622	622	Scaffold	3/2/17	NA
Escherichia coli Nissle 1917	NA	NA	GCF_000714595.1	316435	562	Complete Genome	6/27/14	NA
Escherichia coli 101-1	EAEC	untypable:H10	GCF_000168095.1	358709	562	Contig	7/24/08	NA
Escherichia coli O157:H7 str. Sakai	EHEC	O157:H7	GCF_000008865.1	386585	562	Complete Genome	5/11/04	NA
Escherichia coli E110019	EPEC	O111:H9	GCF_000167875.1	340186	562	Contig	6/25/08	NA
Escherichia coli E22	EPEC	O103:H2	GCF_000167855.1	340185	562	Contig	6/25/08	NA
Escherichia coli APEC O1	ExPEC/avian	O1	GCF_000014845.1	405955	562	Complete Genome	10/4/06	NA
Escherichia coli 536	ExPEC/UPEC	O6:K15:H31	GCF_000013305.1	362663	562	Complete Genome	7/13/06	NA
Escherichia coli F11	ExPEC/UPEC	O6:H31	GCF_000167835.1	340197	562	Contig	6/20/08	NA
Escherichia coli UTI89	ExPEC/UPEC	NA	GCF_000013265.1	364106	562	Complete Genome	4/5/06	NA
Shigella boydii Sb227	NA	NA	GCF_000012025.1	300268	621	Complete Genome	11/9/05	NA
Shigella flexneri 2a	NA	NA	GCF_001580175.1	42897	623	Complete Genome	3/3/16	NA
Shigella sonnei Ss046	NA	NA	GCF_000092525.1	300269	624	Complete Genome	4/5/07	NA
