Gene_family	Centroid_gene_ID	GFF_locus_tag	Product	EC_number	Protein_id
g000001	GCF_000007445:NC_004431.1:1003400-1002231	GCF_000007445:PLMNMHBN_00942	Formate acetyltransferase 1	2.3.1.54	
g000002	GCF_000007445:NC_004431.1:1004514-1003381	GCF_000007445:PLMNMHBN_00943	Formate acetyltransferase 1	2.3.1.54	
g000003	GCF_000007445:NC_004431.1:1011225-1011989	GCF_000007445:PLMNMHBN_00949	putative metalloprotease YcaL	3.4.24.-	
g000004	GCF_000007445:NC_004431.1:1019325-1019591	GCF_000007445:PLMNMHBN_00955	Tetraacyldisaccharide 4'-kinase	2.7.1.130	
g000005	GCF_000007445:NC_004431.1:1049874-1050416	GCF_000007445:PLMNMHBN_00980	Cell division protein ZapC		
g000006	GCF_000007445:NC_004431.1:106060-106980	GCF_000007445:PLMNMHBN_00096	D-alanine--D-alanine ligase B	6.3.2.4	
g000007	GCF_000007445:NC_004431.1:106982-107812	GCF_000007445:PLMNMHBN_00097	Cell division protein FtsQ		
g000008	GCF_000007445:NC_004431.1:1074456-1074127	GCF_000007445:PLMNMHBN_01003	Sulfurtransferase TusE	2.8.1.-	
g000009	GCF_000007445:NC_004431.1:1099254-1100210	GCF_000007445:PLMNMHBN_01027	Glucose-1-phosphatase	3.1.3.10	
g000010	GCF_000007445:NC_004431.1:1100241-1100495	GCF_000007445:PLMNMHBN_01028	Glucose-1-phosphatase	3.1.3.10	
g000011	GCF_000007445:NC_004431.1:1106361-1105666	GCF_000007445:PLMNMHBN_01037	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB	3.5.1.110	
g000012	GCF_000007445:NC_004431.1:1132962-1134404	GCF_000007445:PLMNMHBN_01056	hypothetical protein		
g000013	GCF_000007445:NC_004431.1:1139516-1138353	GCF_000007445:PLMNMHBN_01060	Cystathionine beta-lyase PatB	4.4.1.8	
g000014	GCF_000007445:NC_004431.1:1139919-1139653	GCF_000007445:PLMNMHBN_01061	D-tagatose-1,6-bisphosphate aldolase subunit KbaY	4.1.2.40	
g000015	GCF_000007445:NC_004431.1:1140813-1141064	GCF_000007445:PLMNMHBN_01063	Glucitol operon repressor		
g000016	GCF_000007445:NC_004431.1:1142695-1142354	GCF_000007445:PLMNMHBN_01067	Galactarate dehydratase (L-threo-forming)	4.2.1.42	
g000017	GCF_000007445:NC_004431.1:1147900-1147316	GCF_000007445:PLMNMHBN_01073	hypothetical protein		
g000018	GCF_000007445:NC_004431.1:1151208-1150786	GCF_000007445:PLMNMHBN_01076	Putative esterase	3.1.-.-	
