	s176	s184	s193	s237	s325	REF_GCF_000012825	REF_GCF_000178195	REF_GCF_000273295	REF_GCF_000403235	REF_GCF_000699705	REF_GCF_000699845	REF_GCF_000699865	REF_GCF_001404375	REF_GCF_001405155	REF_GCF_001406315	REF_GCF_001412315	REF_GCF_001640865	REF_GCF_900109635
g000001	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000002	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000003	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000004	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000005	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000006	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000007	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000008	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000009	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000010	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000011	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000012	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
g000013	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0
g000014	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000015	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000016	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0
g000017	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000018	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000019	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000020	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000021	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000022	0	0	0	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1
g000023	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000024	0	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	0	0
g000025	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
g000026	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000027	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000028	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000029	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
