assembly_accession	Description	Phylogroup	#Organism/Name	Strain	CladeID	BioSample	BioProject	Group	SubGroup	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Level	RefSeq FTP	GenBank FTP	taxid	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+	isComplete	isContamination	isHeterogeneity
GCF_000005845.2	Escherichia coli str. K-12 substr. MG1655, complete genome	A	Escherichia coli str. K-12 substr. MG1655	K-12 substr. MG1655	19668	SAMN02604091 	PRJNA225	Proteobacteria	Gammaproteobacteria	4.64165	50.8	chromosome:NC_000913.3/U00096.3	-	1	4498	4140	1998-10-13	2016-08-08	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/845/GCF_000005845.2_ASM584v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/845/GCA_000005845.2_ASM584v2	511145	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.04	0	4641652	0	1	1	4641652	4641652	4641652	4641652	4641652	4641652	50.8	0	87.57	11	4319	1	1171	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000007445.1	Escherichia coli CFT073, complete genome	B2	Escherichia coli CFT073	CFT073	19668	SAMN02604094 	PRJNA313	Proteobacteria	Gammaproteobacteria	5.23143	50.5	chromosome:NC_004431.1/AE014075.1	-	1	5421	4989	2002-12-06	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/445/GCF_000007445.1_ASM744v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/445/GCA_000007445.1_ASM744v1	199310	f__Enterobacteriaceae (UID5124)	134	1173	336	99.92	0.43	0	5231428	87	1	1	5231428	5231341	5231428	5231341	5231428	5231341	50.5	0	87.39	11	4903	2	1165	6	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000008865.1	Escherichia coli O157:H7 str. Sakai, complete genome	E	Escherichia coli O157:H7 str. Sakai	Sakai substr. RIMD 0509952	19668	SAMN01911278 	PRJNA226	Proteobacteria	Gammaproteobacteria	5.59448	50.4477	chromosome:NC_002695.1/BA000007.2; plasmid pO157:NC_002128.1/AB011549.2; plasmid pOSAK1:NC_002127.1/AB011548.2	-	3	5446	5288	2001-03-07	2017-07-27	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/865/GCF_000008865.1_ASM886v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/865/GCA_000008865.1_ASM886v1	386585	f__Enterobacteriaceae (UID5124)	134	1172	336	99.97	0.33	0	5594477	0	3	3	5498450	5498450	1864825	1864825	5498450	5498450	50.5	4.41	87.43	11	5399	1	1169	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000010385.1	Escherichia coli SE11 DNA, complete genome	B1	Escherichia coli SE11	SE11	19668	SAMD00061087 	PRJNA18057	Proteobacteria	Gammaproteobacteria	5.15563	50.7481	chromosome:NC_011415.1/AP009240.1; plasmid pSE11-1:NC_011419.1/AP009241.1; plasmid pSE11-2:NC_011413.1/AP009242.1; plasmid pSE11-3:NC_011416.1/AP009243.1; plasmid pSE11-4:NC_011407.1/AP009244.1; plasmid pSE11-5:NC_011408.1/AP009245.1; plasmid pSE11-6:NC_011411.1/AP009246.1	-	7	5398	5059	2008-10-23	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/385/GCF_000010385.1_ASM1038v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/385/GCA_000010385.1_ASM1038v1	409438	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.15	0	5155626	0	7	7	4887515	4887515	736518	736518	4887515	4887515	50.7	2.23	87.88	11	4895	3	1200	4	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000010485.1	Escherichia coli SE15 DNA, complete genome	B2	Escherichia coli SE15	SE15	19668	SAMD00060923 	PRJDA19053	Proteobacteria	Gammaproteobacteria	4.83968	50.7076	chromosome:NC_013654.1/AP009378.1; plasmid pECSF1:NC_013655.1/AP009379.1	-	2	4941	4651	2009-12-15	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/485/GCF_000010485.1_ASM1048v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/485/GCA_000010485.1_ASM1048v1	431946	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.33	0	4839683	0	2	2	4717338	4717338	2419841	2419841	4717338	4717338	50.7	0.21	87.9	11	4448	1	1170	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000010745.1	Escherichia coli O103:H2 str. 12009 DNA, complete genome	B1	Escherichia coli O103:H2 str. 12009	12009	19668	SAMD00060956 	PRJDA32511	Proteobacteria	Gammaproteobacteria	5.52486	50.6781	chromosome:NC_013353.1/AP010958.1; plasmid pO103:NC_013354.1/AP010959.1	-	2	5911	5441	2009-09-10	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/745/GCF_000010745.1_ASM1074v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/745/GCA_000010745.1_ASM1074v1	585395	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.28	0	5524860	0	2	2	5449314	5449314	2762430	2762430	5449314	5449314	50.6	1.08	87.38	11	5338	3	1199	5	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000010765.1	Escherichia coli O111:H- str. 11128 DNA, complete genome	B1	Escherichia coli O111:H- str. 11128	11128	19668	SAMD00060957 	PRJDA32513	Proteobacteria	Gammaproteobacteria	5.76608	50.4216	chromosome:NC_013364.1/AP010960.1; plasmid pO111_1:NC_013365.1/AP010961.1; plasmid pO111_2:NC_013370.1/AP010962.1; plasmid pO111_3:NC_013366.1/AP010963.1; plasmid pO111_4:NC_013367.1/AP010964.1; plasmid pO111_5:NC_013368.1/AP010965.1	-	6	6211	5672	2009-09-10	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/765/GCF_000010765.1_ASM1076v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/765/GCA_000010765.1_ASM1076v1	585396	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.12	0	5766081	0	6	6	5371077	5371077	961013	961013	5371077	5371077	50.4	1.73	87.27	11	5689	3	1201	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000013265.1	Escherichia coli UTI89, complete genome	B2	Escherichia coli UTI89	UTI89	19668	SAMN00000110 	PRJNA16259	Proteobacteria	Gammaproteobacteria	5.17997	50.6088	chromosome:NC_007946.1/CP000243.1; plasmid pUTI89:NC_007941.1/CP000244.1	-	2	5363	5038	2006-04-05	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/265/GCF_000013265.1_ASM1326v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/265/GCA_000013265.1_ASM1326v1	364106	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.12	0	5179971	0	2	2	5065741	5065741	2589985	2589985	5065741	5065741	50.6	0.29	87.84	11	4840	1	1169	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000013305.1	Escherichia coli 536, complete genome	B2	Escherichia coli 536	536	19668	SAMN02604181 	PRJNA16235	Proteobacteria	Gammaproteobacteria	4.93892	50.5	chromosome:NC_008253.1/CP000247.1	-	1	5014	4623	2006-07-13	2017-02-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/305/GCF_000013305.1_ASM1330v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/305/GCA_000013305.1_ASM1330v1	362663	f__Enterobacteriaceae (UID5124)	134	1173	336	99.62	0.07	0	4938920	0	1	1	4938920	4938920	4938920	4938920	4938920	4938920	50.5	0	87.53	11	4544	5	1166	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000014845.1	Escherichia coli APEC O1, complete genome	B2	Escherichia coli APEC O1	APEC O1	19668	SAMN02603424 	PRJNA16718	Proteobacteria	Gammaproteobacteria	5.49765	50.2915	chromosome:NC_008563.1/CP000468.1; plasmid pAPEC-O1-ColBM:NC_009837.1/DQ381420.1; plasmid pAPEC-O1-R:NC_009838.1/DQ517526.1	-	3	5772	5382	2006-10-04	2017-03-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/845/GCF_000014845.1_ASM1484v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/845/GCA_000014845.1_ASM1484v1	405955	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.55	0	5497653	1	3	3	5082025	5082024	1832551	1832550	5082025	5082024	50.3	2.29	87.52	11	5259	1	1164	8	0	0	0	complete	non-contaminate	non-heterogeneity
