subjectid	NonHostReads	estNumReads	estCoverage	full	partial
s319	11902425	1187924383.707	368.920616058075	2901	85
s298	10158554	1004652343.47772	312.003833378174	3044	86
s256	4411161	423579661.77933	131.546478813457	2955	85
s125	3711083	315377296.60165	97.943259814177	2814	100
s184	11820686	203629401.99958	63.2389447203665	2156	118
s187	2554396	190978625.07724	59.3101320115652	2956	57
s111	8810701	94924730.4338	29.4797299483851	3238	1038
s222	2024280	60749715.6684	18.8663713255901	2909	76
s160	2327620	38021858.9096	11.8080307172671	1400	248
s188	2576845	23450320.238	7.28270814844721	1196	2869
s202	6996635	19640533.9739	6.0995447123913	663	3424
s237	3444558	15328420.88232	4.760379156	1157	2545
GCF_002221625	NA	NA	NA	2895	2
GCF_002163735	NA	NA	NA	2926	2
GCF_002140075	NA	NA	NA	2791	1
GCF_001989555	NA	NA	NA	3219	0
GCF_001931845	NA	NA	NA	2608	2
GCF_001886675	NA	NA	NA	2508	0
GCF_001878735	NA	NA	NA	2545	0
GCF_002355755	NA	NA	NA	2538	0
GCF_001598635	NA	NA	NA	2705	2
GCF_000742975	NA	NA	NA	2997	4
GCF_000550745	NA	NA	NA	2898	0
GCF_000317915	NA	NA	NA	2737	0
GCF_000281195	NA	NA	NA	3050	3
GCF_000172575	NA	NA	NA	2553	0
GCF_000007785	NA	NA	NA	3350	1
GCF_001742285	NA	NA	NA	3571	43
